"A","B","C","D","E","F","G","H","null_c","Run","Speaker"
0,0,1,0,0,0,0,0,0,"0.000263654959550333",5
0,0,0,0,0,0,0,1,0,"0.000263654959550333",3
0,0,0,0,0,1,0,0,0,"0.000263654959550333",4
0,0,0,0,0,0,1,0,0,"0.000263654959550333",4
0,0,0,0,1,0,0,0,0,"0.000263654959550333",3
0,0,0,0,1,0,0,0,0,"0.000263654959550333",3
0,0,0,0,0,0,0,1,0,"0.000263654959550333",4
0,0,1,0,0,0,0,0,0,"0.000263654959550333",2
0,0,0,1,0,0,0,0,0,"0.000263654959550333",5
0,0,0,1,0,0,0,0,0,"0.000263654959550333",2
0,0,0,0,1,0,0,0,0,"0.000263654959550333",3
0,0,0,1,0,0,0,0,0,"0.000263654959550333",2
0,0,0,0,0,1,0,0,0,"0.000263654959550333",1
0,0,0,0,0,0,1,0,0,"0.000263654959550333",1
0,0,0,0,0,0,0,1,0,"0.000263654959550333",3
0,1,0,0,0,0,0,0,0,"0.000263654959550333",1
0,0,0,0,0,0,1,0,0,"0.000263654959550333",2
0,0,0,0,0,0,1,0,0,"0.000263654959550333",3
0,0,0,0,0,0,0,0,1,"0.000263654959550333",4
0,0,0,1,0,0,0,0,0,"0.000263654959550333",5
0,0,1,0,0,0,0,0,0,"0.000263654959550333",2
1,0,0,0,0,0,0,0,0,"0.000263654959550333",5
0,0,0,0,0,0,0,0,1,"0.000263654959550333",4
0,0,0,0,0,0,0,0,1,"0.000263654959550333",2
0,0,0,0,0,0,0,0,1,"0.000263654959550333",3
0,0,0,1,0,0,0,0,0,"0.000263654959550333",1
0,1,0,0,0,0,0,0,0,"0.000263654959550333",5
0,0,0,1,0,0,0,0,0,"0.000263654959550333",5
0,0,0,0,0,1,0,0,0,"0.000263654959550333",2
0,0,0,0,0,1,0,0,0,"0.000263654959550333",5
0,0,0,0,0,1,0,0,0,"0.000263654959550333",2
0,0,1,0,0,0,0,0,0,"0.000263654959550333",5
0,0,0,1,0,0,0,0,0,"0.000263654959550333",2
0,0,0,0,0,0,1,0,0,"0.000263654959550333",1
0,0,0,0,0,1,0,0,0,"0.000263654959550333",3
0,0,0,0,0,0,0,1,0,"0.000263654959550333",1
0,0,0,0,0,0,0,1,0,"0.000263654959550333",3
0,0,0,0,0,0,0,1,0,"0.000263654959550333",3
0,0,0,0,0,1,0,0,0,"0.000263654959550333",2
0,0,0,0,1,0,0,0,0,"0.000263654959550333",3
0,0,0,0,1,0,0,0,0,"0.000263654959550333",5
0,0,0,0,1,0,0,0,0,"0.000263654959550333",3
0,0,1,0,0,0,0,0,0,"0.000263654959550333",4
0,0,1,0,0,0,0,0,0,"0.000263654959550333",3
0,0,0,0,0,0,1,0,0,"0.000263654959550333",2
0,0,1,0,0,0,0,0,0,"0.000263654959550333",5
0,0,0,0,0,0,1,0,0,"0.000263654959550333",4
0,0,0,0,0,0,1,0,0,"0.000263654959550333",4
0,0,0,0,0,0,1,0,0,"0.000263654959550333",5
0,0,0,0,0,0,1,0,0,"0.000263654959550333",1
0,0,0,1,0,0,0,0,0,"0.000263654959550333",3
0,0,0,1,0,0,0,0,0,"0.000263654959550333",4
0,0,0,0,0,0,0,0,1,"0.000263654959550333",3
0,0,0,0,0,1,0,0,0,"0.000263654959550333",1
0,0,0,0,1,0,0,0,0,"0.000263654959550333",3
0,0,0,0,1,0,0,0,0,"0.000263654959550333",4
0,0,0,0,0,1,0,0,0,"0.000263654959550333",2
0,1,0,0,0,0,0,0,0,"0.000263654959550333",5
1,0,0,0,0,0,0,0,0,"0.000263654959550333",1
1,0,0,0,0,0,0,0,0,"0.000263654959550333",3
0,0,0,0,0,0,0,0,1,"0.000263654959550333",1
0,0,0,1,0,0,0,0,0,"0.000263654959550333",5
0,0,0,0,0,0,0,0,1,"0.000263654959550333",2
0,0,0,0,0,1,0,0,0,"0.000263654959550333",5
0,1,0,0,0,0,0,0,0,"0.000263654959550333",1
0,1,0,0,0,0,0,0,0,"0.000263654959550333",1
0,0,1,0,0,0,0,0,0,"0.000263654959550333",1
0,0,0,0,0,1,0,0,0,"0.000263654959550333",3
0,0,0,0,1,0,0,0,0,"0.000263654959550333",4
0,0,0,0,1,0,0,0,0,"0.000263654959550333",5
0,0,0,0,1,0,0,0,0,"0.000263654959550333",5
0,0,0,0,0,0,1,0,0,"0.000263654959550333",2
0,0,0,0,0,0,0,1,0,"0.000263654959550333",3
0,0,0,0,0,0,0,1,0,"0.000263654959550333",4
0,0,0,0,0,0,1,0,0,"0.000263654959550333",4
0,1,0,0,0,0,0,0,0,"0.000263654959550333",3
0,0,0,0,0,1,0,0,0,"0.000263654959550333",4
0,0,0,0,0,1,0,0,0,"0.000263654959550333",5
0,0,0,0,1,0,0,0,0,"0.000263654959550333",1
1,0,0,0,0,0,0,0,0,"0.000263654959550333",1
0,0,0,0,0,0,0,1,0,"0.000263654959550333",2
0,0,0,0,0,0,0,1,0,"0.000263654959550333",3
0,0,0,0,0,0,1,0,0,"0.000263654959550333",4
0,0,0,0,1,0,0,0,0,"0.000263654959550333",3
0,0,0,1,0,0,0,0,0,"0.000263654959550333",2
0,1,0,0,0,0,0,0,0,"0.000263654959550333",3
0,1,0,0,0,0,0,0,0,"0.000263654959550333",5
0,0,0,0,0,1,0,0,0,"0.000263654959550333",5
0,0,0,0,0,1,0,0,0,"0.000263654959550333",5
0,0,0,0,0,0,1,0,0,"0.000263654959550333",1
0,0,0,0,1,0,0,0,0,"0.000263654959550333",2
0,0,0,0,1,0,0,0,0,"0.000263654959550333",5
0,0,0,0,1,0,0,0,0,"0.000263654959550333",2
0,0,0,0,0,0,1,0,0,"0.000263654959550333",3
0,0,0,0,0,0,0,0,1,"0.000263654959550333",4
0,0,0,0,1,0,0,0,0,"0.000263654959550333",2
0,0,0,0,1,0,0,0,0,"0.000263654959550333",5
0,0,0,1,0,0,0,0,0,"0.000263654959550333",1
0,0,0,1,0,0,0,0,0,"0.000263654959550333",5
0,1,0,0,0,0,0,0,0,"0.000263654959550333",1
0,1,0,0,0,0,0,0,0,"0.000263654959550333",1
0,1,0,0,0,0,0,0,0,"0.000263654959550333",3
0,1,0,0,0,0,0,0,0,"0.000263654959550333",1
0,1,0,0,0,0,0,0,0,"0.000263654959550333",1
0,1,0,0,0,0,0,0,0,"0.000263654959550333",3
0,1,0,0,0,0,0,0,0,"0.000263654959550333",4
0,0,0,0,0,1,0,0,0,"0.000263654959550333",5
0,0,0,0,0,1,0,0,0,"0.000263654959550333",1
0,0,0,0,0,0,0,0,1,"0.000263654959550333",4
0,0,0,1,0,0,0,0,0,"0.000263654959550333",5
0,0,1,0,0,0,0,0,0,"0.000263654959550333",2
0,0,0,0,0,1,0,0,0,"0.000263654959550333",5
0,0,0,0,0,1,0,0,0,"0.000263654959550333",1
0,0,0,0,0,0,0,1,0,"0.000263654959550333",5
0,0,0,0,0,1,0,0,0,"0.000263654959550333",5
0,0,0,0,0,1,0,0,0,"0.000263654959550333",1
0,0,0,0,0,0,0,0,1,"0.000263654959550333",2
0,0,0,0,0,0,0,1,0,"0.000263654959550333",1
0,0,0,0,0,0,1,0,0,"0.000263654959550333",3
0,0,0,0,0,0,0,1,0,"0.000263654959550333",2
0,0,0,1,0,0,0,0,0,"0.000263654959550333",3
0,0,0,0,0,0,0,1,0,"0.000263654959550333",4
0,0,0,0,0,0,0,1,0,"0.000263654959550333",2
1,0,0,0,0,0,0,0,0,"0.000263654959550333",3
0,0,0,0,0,1,0,0,0,"0.000263654959550333",2
0,0,0,0,1,0,0,0,0,"0.000263654959550333",3
0,0,0,0,1,0,0,0,0,"0.000263654959550333",1
1,0,0,0,0,0,0,0,0,"0.000263654959550333",1
0,0,0,0,0,0,0,0,1,"0.000263654959550333",1
0,1,0,0,0,0,0,0,0,"0.000263654959550333",4
0,1,0,0,0,0,0,0,0,"0.000263654959550333",3
0,1,0,0,0,0,0,0,0,"0.000263654959550333",4
0,0,0,0,0,0,0,1,0,"0.000263654959550333",4
0,0,0,0,0,0,0,1,0,"0.000263654959550333",1
0,0,0,0,0,0,0,1,0,"0.000263654959550333",1
0,0,0,0,0,1,0,0,0,"0.000263654959550333",3
0,0,0,0,0,1,0,0,0,"0.000263654959550333",3
0,0,0,0,0,1,0,0,0,"0.000263654959550333",2
0,1,0,0,0,0,0,0,0,"0.000263654959550333",5
1,0,0,0,0,0,0,0,0,"0.000263654959550333",1
1,0,0,0,0,0,0,0,0,"0.000263654959550333",1
0,0,0,1,0,0,0,0,0,"0.000263654959550333",4
0,0,0,1,0,0,0,0,0,"0.000263654959550333",4
0,0,1,0,0,0,0,0,0,"0.000263654959550333",2
0,0,0,0,1,0,0,0,0,"0.000263654959550333",5
0,0,0,0,1,0,0,0,0,"0.000263654959550333",3
0,0,0,0,1,0,0,0,0,"0.000263654959550333",2
0,0,0,0,1,0,0,0,0,"0.000263654959550333",3
0,0,0,0,0,0,0,1,0,"0.000263654959550333",4
1,0,0,0,0,0,0,0,0,"0.000263654959550333",3
0,0,0,0,0,0,0,0,1,"0.000263654959550333",2
0,0,0,0,0,1,0,0,0,"0.000263654959550333",1
0,0,0,1,0,0,0,0,0,"0.000263654959550333",3
0,0,0,0,0,0,0,0,1,"0.000263654959550333",2
1,0,0,0,0,0,0,0,0,"0.000263654959550333",3
0,0,0,0,0,0,0,0,1,"0.000263654959550333",5
0,0,0,0,0,0,0,1,0,"0.000263654959550333",3
0,0,0,0,0,0,0,1,0,"0.000263654959550333",4
1,0,0,0,0,0,0,0,0,"0.000263654959550333",5
1,0,0,0,0,0,0,0,0,"0.000263654959550333",4
0,0,1,0,0,0,0,0,0,"0.000263654959550333",4
0,0,0,0,0,1,0,0,0,"0.000263654959550333",1
0,0,0,1,0,0,0,0,0,"0.000263654959550333",5
0,0,0,0,0,0,0,1,0,"0.000263654959550333",2
0,0,0,0,0,0,0,1,0,"0.000263654959550333",3
0,0,0,0,0,0,0,1,0,"0.000263654959550333",4
0,1,0,0,0,0,0,0,0,"0.000263654959550333",4
0,1,0,0,0,0,0,0,0,"0.000263654959550333",2
0,0,0,0,1,0,0,0,0,"0.000263654959550333",5
0,0,1,0,0,0,0,0,0,"0.000263654959550333",3
0,1,0,0,0,0,0,0,0,"0.000263654959550333",4
0,0,1,0,0,0,0,0,0,"0.000263654959550333",5
0,0,0,0,0,0,1,0,0,"0.000263654959550333",1
0,0,0,0,0,0,0,0,1,"0.000263654959550333",5
0,0,0,0,1,0,0,0,0,"0.000263654959550333",2
0,0,0,1,0,0,0,0,0,"0.000263654959550333",3
0,0,0,1,0,0,0,0,0,"0.000263654959550333",2
0,0,1,0,0,0,0,0,0,"0.000263654959550333",3
0,0,0,0,1,0,0,0,0,"0.000263654959550333",1
0,0,0,0,0,0,0,0,1,"0.000263654959550333",3
1,0,0,0,0,0,0,0,0,"0.000263654959550333",4
0,1,0,0,0,0,0,0,0,"0.000263654959550333",2
0,0,0,0,0,0,0,1,0,"0.000263654959550333",5
0,0,1,0,0,0,0,0,0,"0.000263654959550333",4
0,0,1,0,0,0,0,0,0,"0.000263654959550333",4
0,0,1,0,0,0,0,0,0,"0.000263654959550333",5
0,0,0,0,0,0,1,0,0,"0.000263654959550333",2
